seed,layer,hundreds,tens,ones
42,0,0.18,0.12,0.09
42,1,0.18,0.12,0.09
42,2,0.18,0.12,0.09
42,3,0.18,0.12,0.09
42,4,0.18,0.12,0.09
42,5,0.18,0.12,0.09
42,6,0.18,0.12,0.09
42,7,0.18,0.12,0.09
42,8,0.18,0.12,0.09
42,9,0.18,0.12,0.09
42,10,0.18,0.12,0.09
42,11,0.18,0.12,0.09
42,12,0.18,0.12,0.09
42,13,0.18,0.12,0.09
42,14,0.18,0.12,0.09
42,15,0.18,0.12,0.16
42,16,0.18,0.07,0.15
42,17,0.22,0.13,0.12
42,18,0.46,0.1,0.06
42,19,0.56,0.11,0.07
42,20,0.48,0.15,0.05
42,21,0.68,0.24,0.09
42,22,0.63,0.23,0.08
42,23,0.8,0.23,0.09
42,24,0.88,0.2,0.14
42,25,0.9,0.2,0.12
42,26,0.9,0.22,0.08
42,27,0.92,0.2,0.09
42,28,0.98,0.25,0.09
42,29,0.97,0.33,0.09
42,30,0.96,0.32,0.1
42,31,0.97,0.3,0.07
42,32,0.96,0.25,0.09
43,0,0.29,0.14,0.07
43,1,0.29,0.14,0.07
43,2,0.29,0.14,0.07
43,3,0.29,0.14,0.07
43,4,0.29,0.09,0.07
43,5,0.29,0.09,0.07
43,6,0.29,0.09,0.1
43,7,0.29,0.14,0.12
43,8,0.29,0.08,0.17
43,9,0.29,0.08,0.14
43,10,0.29,0.08,0.09
43,11,0.29,0.13,0.08
43,12,0.29,0.08,0.06
43,13,0.29,0.11,0.13
43,14,0.29,0.09,0.08
43,15,0.29,0.04,0.09
43,16,0.29,0.12,0.07
43,17,0.29,0.12,0.08
43,18,0.53,0.08,0.08
43,19,0.52,0.1,0.08
43,20,0.59,0.07,0.09
43,21,0.61,0.19,0.07
43,22,0.62,0.2,0.09
43,23,0.77,0.18,0.12
43,24,0.88,0.25,0.08
43,25,0.94,0.23,0.05
43,26,0.95,0.17,0.04
43,27,0.94,0.23,0.11
43,28,0.97,0.26,0.07
43,29,0.96,0.28,0.1
43,30,0.96,0.3,0.07
43,31,0.96,0.36,0.09
43,32,0.95,0.36,0.09
44,0,0.21,0.16,0.08
44,1,0.21,0.16,0.08
44,2,0.21,0.16,0.12
44,3,0.21,0.16,0.08
44,4,0.21,0.16,0.08
44,5,0.21,0.16,0.12
44,6,0.21,0.16,0.08
44,7,0.21,0.16,0.13
44,8,0.21,0.16,0.08
44,9,0.21,0.13,0.08
44,10,0.21,0.16,0.08
44,11,0.21,0.16,0.08
44,12,0.21,0.16,0.09
44,13,0.21,0.17,0.12
44,14,0.21,0.07,0.11
44,15,0.21,0.16,0.08
44,16,0.22,0.15,0.1
44,17,0.24,0.06,0.19
44,18,0.43,0.18,0.12
44,19,0.46,0.15,0.13
44,20,0.5,0.17,0.11
44,21,0.71,0.28,0.11
44,22,0.67,0.18,0.13
44,23,0.78,0.24,0.15
44,24,0.83,0.25,0.13
44,25,0.87,0.27,0.13
44,26,0.92,0.26,0.13
44,27,0.93,0.26,0.12
44,28,0.97,0.33,0.12
44,29,0.96,0.33,0.14
44,30,0.96,0.38,0.13
44,31,0.96,0.32,0.17
44,32,0.97,0.29,0.15
45,0,0.21,0.13,0.11
45,1,0.21,0.13,0.11
45,2,0.21,0.13,0.11
45,3,0.21,0.13,0.11
45,4,0.21,0.13,0.11
45,5,0.21,0.14,0.11
45,6,0.21,0.07,0.11
45,7,0.21,0.07,0.07
45,8,0.21,0.07,0.11
45,9,0.21,0.07,0.06
45,10,0.21,0.12,0.13
45,11,0.21,0.07,0.14
45,12,0.21,0.06,0.06
45,13,0.21,0.1,0.11
45,14,0.21,0.13,0.12
45,15,0.21,0.1,0.11
45,16,0.23,0.14,0.11
45,17,0.27,0.11,0.03
45,18,0.46,0.08,0.13
45,19,0.52,0.1,0.14
45,20,0.56,0.08,0.11
45,21,0.65,0.14,0.12
45,22,0.67,0.21,0.09
45,23,0.71,0.19,0.11
45,24,0.77,0.24,0.11
45,25,0.86,0.17,0.1
45,26,0.89,0.18,0.06
45,27,0.88,0.25,0.08
45,28,0.95,0.17,0.12
45,29,0.94,0.3,0.14
45,30,0.95,0.26,0.1
45,31,0.97,0.31,0.15
45,32,0.97,0.26,0.05
46,0,0.13,0.03,0.07
46,1,0.28,0.14,0.07
46,2,0.28,0.03,0.07
46,3,0.23,0.14,0.07
46,4,0.28,0.14,0.07
46,5,0.28,0.03,0.07
46,6,0.28,0.14,0.09
46,7,0.28,0.14,0.1
46,8,0.28,0.03,0.07
46,9,0.28,0.2,0.07
46,10,0.28,0.14,0.12
46,11,0.28,0.09,0.09
46,12,0.28,0.03,0.07
46,13,0.28,0.11,0.08
46,14,0.28,0.14,0.09
46,15,0.28,0.05,0.08
46,16,0.36,0.16,0.1
46,17,0.33,0.08,0.11
46,18,0.57,0.15,0.12
46,19,0.62,0.21,0.09
46,20,0.65,0.18,0.14
46,21,0.63,0.2,0.1
46,22,0.73,0.25,0.13
46,23,0.84,0.27,0.1
46,24,0.91,0.28,0.13
46,25,0.95,0.3,0.12
46,26,0.96,0.25,0.14
46,27,0.98,0.32,0.15
46,28,0.98,0.35,0.1
46,29,0.99,0.35,0.13
46,30,0.99,0.4,0.14
46,31,0.99,0.44,0.12
46,32,0.97,0.36,0.08
